transaction_id,timestamp,psp,transaction_type,payer_vpa,payee_vpa,payer_bank,payee_bank,merchant_id,merchant_name,merchant_category,mcc,amount,currency,status,response_code,failure_reason,rrn,bank_reference_id,payment_mode,device_type,state,settlement_status,risk_score,fraud_flag
TXN_20260802_427714,2026-08-02T18:10:38+05:30,Paytm,UPI_PAYMENT,user671248@paytm,stylehubfas106@federalb,Indian Bank,Federal Bank,MER_248634,StyleHub Fashion,Apparel,5651,328.85,INR,SUCCESS,00,,215849663955,BRN9775658671,UPI,ANDROID,Madhya Pradesh,SETTLED,30,false
TXN_20260804_656650,2026-08-04T13:42:11+05:30,Paytm,UPI_PAYMENT,user899564@paytm,cafebrew810@iciciban,State Bank of India,ICICI Bank,MER_680037,Cafe Brew,Cafe,5814,983.46,INR,SUCCESS,00,,877187446612,BRN9581768855,UPI,ANDROID,Haryana,SETTLED,32,false
TXN_20260805_722541,2026-08-05T01:58:43+05:30,Paytm,UPI_PAYMENT,user240625@paytm,edulearnser370@iciciban,State Bank of India,ICICI Bank,MER_761563,EduLearn Services,Education,8299,305.58,INR,SUCCESS,00,,194177880787,BRN1227735486,UPI,ANDROID,Chhattisgarh,SETTLED,41,false
TXN_20260802_411020,2026-08-02T06:28:55+05:30,Paytm,UPI_PAYMENT,user263460@paytm,stylehubfas560@iciciban,Axis Bank,ICICI Bank,MER_543265,StyleHub Fashion,Apparel,5651,159.76,INR,SUCCESS,00,,517346747583,BRN2959919462,UPI,ANDROID,West Bengal,SETTLED,8,false
TXN_20260808_914882,2026-08-08T03:16:00+05:30,Paytm,UPI_PAYMENT,user554617@paytm,mobilerecha458@indusind,Axis Bank,IndusInd Bank,MER_171986,Mobile Recharge Hub,Telecom,4814,214.92,INR,SUCCESS,00,,305127176660,BRN2006337309,UPI,ANDROID,Gujarat,SETTLED,40,false
TXN_20260805_888506,2026-08-05T17:42:07+05:30,Paytm,UPI_PAYMENT,user656580@paytm,mobilerecha893@punjabna,Canara Bank,Punjab National Bank,MER_643618,Mobile Recharge Hub,Telecom,4814,591.63,INR,SUCCESS,00,,909263315909,BRN4550217492,UPI,ANDROID,West Bengal,SETTLED,50,false
TXN_20260808_548375,2026-08-08T02:07:03+05:30,Paytm,UPI_PAYMENT,user279824@paytm,freshmartre613@stateban,Axis Bank,State Bank of India,MER_732858,FreshMart Retail,Grocery,5411,56.75,INR,SUCCESS,00,,348793056643,BRN7923033129,UPI,ANDROID,Uttar Pradesh,SETTLED,10,false
TXN_20260803_653346,2026-08-03T03:41:32+05:30,Paytm,UPI_PAYMENT,user790991@paytm,edulearnser504@axisbank,Punjab National Bank,Axis Bank,MER_799932,EduLearn Services,Education,8299,413.95,INR,SUCCESS,00,,701899281636,BRN4811820594,UPI,ANDROID,Haryana,SETTLED,33,false
TXN_20260801_645956,2026-08-01T21:22:42+05:30,Paytm,UPI_PAYMENT,user92371@paytm,stylehubfas151@unionban,State Bank of India,Union Bank of India,MER_159867,StyleHub Fashion,Apparel,5651,181.74,INR,SUCCESS,00,,202657227773,BRN9283132441,UPI,ANDROID,West Bengal,SETTLED,1,false
TXN_20260803_124826,2026-08-03T06:42:26+05:30,Paytm,UPI_PAYMENT,user51118@paytm,urbaneats450@bandhanb,ICICI Bank,Bandhan Bank,MER_550532,Urban Eats,Restaurant,5812,1126.84,INR,SUCCESS,00,,348708651151,BRN9725548260,UPI,ANDROID,Haryana,SETTLED,63,false
