transaction_id,timestamp,psp,transaction_type,payer_vpa,payee_vpa,payer_bank,payee_bank,merchant_id,merchant_name,merchant_category,mcc,amount,currency,status,response_code,failure_reason,rrn,bank_reference_id,payment_mode,device_type,state,settlement_status,risk_score,fraud_flag
TXN_20260219_254556,2026-02-19T22:17:33+05:30,Paytm,UPI_PAYMENT,user741171@paytm,edulearnser614@kotakmah,HDFC Bank,Kotak Mahindra Bank,MER_159624,EduLearn Services,Education,8299,400.21,INR,SUCCESS,00,,859039086759,BRN9308574497,UPI,WEB,Kerala,PENDING,53,false
TXN_20260214_842591,2026-02-14T06:16:29+05:30,Paytm,UPI_PAYMENT,user679230@paytm,stylehubfas66@hdfcbank,ICICI Bank,HDFC Bank,MER_204176,StyleHub Fashion,Apparel,5651,298.68,INR,SUCCESS,00,,594523129653,BRN2600587989,UPI,IOS,Delhi,SETTLED,28,false
TXN_20260209_635802,2026-02-09T19:50:54+05:30,Paytm,UPI_PAYMENT,user985973@paytm,quickfuelst916@punjabna,Indian Bank,Punjab National Bank,MER_835272,QuickFuel Station,Fuel,5541,523.65,INR,SUCCESS,00,,399365799348,BRN5022870803,UPI,IOS,Uttar Pradesh,SETTLED,25,false
TXN_20260203_453868,2026-02-03T18:27:46+05:30,Paytm,UPI_PAYMENT,user408755@paytm,urbaneats586@federalb,Axis Bank,Federal Bank,MER_146213,Urban Eats,Restaurant,5812,384.25,INR,SUCCESS,00,,745104573153,BRN4949642587,UPI,IOS,Goa,PENDING,30,false
TXN_20260213_975404,2026-02-13T15:57:11+05:30,Paytm,UPI_PAYMENT,user208918@paytm,utilitypays203@bankofin,ICICI Bank,Bank of India,MER_378204,UtilityPay Services,Utilities,4900,10.06,INR,SUCCESS,00,,430864318375,BRN4214498991,UPI,WEB,Maharashtra,SETTLED,42,false
TXN_20260223_670607,2026-02-23T11:29:37+05:30,Paytm,UPI_PAYMENT,user147105@paytm,cafebrew245@stateban,State Bank of India,State Bank of India,MER_987340,Cafe Brew,Cafe,5814,26.76,INR,SUCCESS,00,,804160852212,BRN4492277990,UPI,ANDROID,Uttar Pradesh,SETTLED,41,false
TXN_20260215_553313,2026-02-15T09:44:42+05:30,Paytm,UPI_PAYMENT,user13887@paytm,cafebrew165@iciciban,HDFC Bank,ICICI Bank,MER_931904,Cafe Brew,Cafe,5814,876.84,INR,SUCCESS,00,,937818705621,BRN7061153545,UPI,ANDROID,Uttar Pradesh,SETTLED,24,false
TXN_20260202_980390,2026-02-02T11:13:31+05:30,Paytm,UPI_PAYMENT,user825834@paytm,medicarepha308@stateban,State Bank of India,State Bank of India,MER_273178,MediCare Pharmacy,Pharmacy,5912,115.34,INR,SUCCESS,00,,685520468440,BRN4476051730,UPI,ANDROID,Karnataka,SETTLED,29,false
TXN_20260208_136652,2026-02-08T03:52:25+05:30,Paytm,UPI_PAYMENT,user675885@paytm,mobilerecha392@iciciban,YES BANK,ICICI Bank,MER_671317,Mobile Recharge Hub,Telecom,4814,152.08,INR,SUCCESS,00,,282354689525,BRN1352780084,UPI,WEB,Delhi,SETTLED,41,false
TXN_20260221_145230,2026-02-21T11:27:54+05:30,Paytm,UPI_PAYMENT,user197480@paytm,booknest948@unionban,Indian Bank,Union Bank of India,MER_757214,BookNest,Books,5942,328.51,INR,SUCCESS,00,,350923659387,BRN4593012229,UPI,ANDROID,Haryana,SETTLED,35,false
TXN_20260224_528968,2026-02-24T09:16:00+05:30,Paytm,UPI_PAYMENT,user111656@paytm,urbaneats671@punjabna,Bank of Baroda,Punjab National Bank,MER_540459,Urban Eats,Restaurant,5812,384.32,INR,SUCCESS,00,,131718129132,BRN4583343117,UPI,IOS,Rajasthan,SETTLED,11,false
TXN_20260224_219360,2026-02-24T19:28:31+05:30,Paytm,UPI_PAYMENT,user565882@paytm,mobilerecha122@iciciban,Union Bank of India,ICICI Bank,MER_831540,Mobile Recharge Hub,Telecom,4814,1345.81,INR,SUCCESS,00,,769137512029,BRN5726924646,UPI,IOS,Assam,SETTLED,10,false
TXN_20260222_976655,2026-02-22T16:42:39+05:30,Paytm,UPI_PAYMENT,user693168@paytm,metromobili419@stateban,ICICI Bank,State Bank of India,MER_416161,Metro Mobility,Transport,4121,230.48,INR,SUCCESS,00,,256413657380,BRN7435299501,UPI,ANDROID,Karnataka,SETTLED,33,false
TXN_20260217_329252,2026-02-17T04:36:52+05:30,Paytm,UPI_PAYMENT,user762302@paytm,booknest293@iciciban,HDFC Bank,ICICI Bank,MER_257728,BookNest,Books,5942,23.53,INR,SUCCESS,00,,146958382546,BRN6456341717,UPI,ANDROID,Maharashtra,SETTLED,15,false
TXN_20260225_286990,2026-02-25T04:02:52+05:30,Paytm,UPI_PAYMENT,user786110@paytm,medicarepha10@hdfcbank,Axis Bank,HDFC Bank,MER_836426,MediCare Pharmacy,Pharmacy,5912,209.11,INR,SUCCESS,00,,535607160786,BRN2095094465,UPI,ANDROID,Karnataka,SETTLED,62,false
TXN_20260207_777581,2026-02-07T12:00:53+05:30,Paytm,UPI_PAYMENT,user774560@paytm,fitzonegym457@indianov,ICICI Bank,Indian Overseas Bank,MER_613428,FitZone Gym,Fitness,7997,317.14,INR,SUCCESS,00,,937028627059,BRN1523767802,UPI,ANDROID,Uttar Pradesh,SETTLED,16,false
TXN_20260205_539884,2026-02-05T10:14:20+05:30,Paytm,UPI_PAYMENT,user384518@paytm,stylehubfas852@hdfcbank,HDFC Bank,HDFC Bank,MER_658819,StyleHub Fashion,Apparel,5651,638.48,INR,SUCCESS,00,,968060511993,BRN6968099526,UPI,WEB,Uttar Pradesh,SETTLED,26,false
TXN_20260228_390600,2026-02-28T02:13:59+05:30,Paytm,UPI_PAYMENT,user904050@paytm,fitzonegym782@axisbank,Federal Bank,Axis Bank,MER_397147,FitZone Gym,Fitness,7997,439.02,INR,SUCCESS,00,,735006971778,BRN8375928748,UPI,ANDROID,Uttar Pradesh,SETTLED,9,false
TXN_20260216_908105,2026-02-16T13:56:28+05:30,Paytm,UPI_PAYMENT,user987405@paytm,medicarepha329@kotakmah,ICICI Bank,Kotak Mahindra Bank,MER_950380,MediCare Pharmacy,Pharmacy,5912,39.77,INR,SUCCESS,00,,522451294049,BRN2388470733,UPI,ANDROID,West Bengal,SETTLED,17,false
